air__airline_Indigo,air__airline_Jet Airways,air__airline_other,journey__date_of_journey_month,journey__date_of_journey_week,journey__date_of_journey_day_of_year,location__source_Delhi,location__source_other,location__destination_Cochin,location__destination_Delhi,time__arrival_time_hour,flight__duration_category,flight__over_1000,flight__duration,break__total_stops,break__is_direct_flight,price
0.0,0.0,0.0,0.33333333333333326,0.2941176470588235,0.2627118644067796,0.0,0.0,0.0,0.0,1.0,2.0,1,2.441301525760202,3,0,8607
0.0,0.0,0.0,1.0,0.7647058823529412,0.7796610169491525,1.0,0.0,1.0,0.0,0.9130434782608695,1.0,0,-0.30185533183861735,1,0,13587
0.0,1.0,0.0,0.6666666666666665,0.7058823529411765,0.6864406779661016,0.0,0.0,0.0,0.0,1.0,2.0,0,-0.11897820799869603,1,0,10844
0.0,1.0,0.0,0.0,0.05882352941176472,0.06779661016949157,1.0,0.0,1.0,0.0,0.17391304347826086,2.0,1,1.5269159065605957,2,0,16914
0.0,1.0,0.0,0.6666666666666665,0.6470588235294118,0.6610169491525424,0.0,0.0,0.0,0.0,0.34782608695652173,2.0,0,0.6430098080009761,1,0,8586
0.0,1.0,0.0,1.0,0.823529411764706,0.7966101694915255,1.0,0.0,1.0,0.0,0.17391304347826086,2.0,1,0.9681246948275029,1,0,11627
0.0,0.0,1.0,0.6666666666666665,0.7058823529411765,0.7118644067796611,0.0,0.0,0.0,1.0,0.6086956521739131,0.0,0,-0.9317654250650129,0,1,3398
0.0,0.0,1.0,0.6666666666666665,0.6470588235294118,0.6610169491525424,0.0,1.0,0.0,0.0,0.5217391304347826,0.0,0,-1.0028843065583157,0,1,3543
0.0,0.0,1.0,0.33333333333333326,0.2941176470588235,0.2796610169491526,0.0,0.0,0.0,0.0,0.5217391304347826,0.0,0,-0.9622449457049999,0,1,4107
0.0,1.0,0.0,0.33333333333333326,0.2941176470588235,0.30508474576271194,1.0,0.0,1.0,0.0,0.8260869565217391,2.0,0,0.06389891584122527,1,0,5406
0.0,1.0,0.0,1.0,0.9999999999999999,0.9745762711864407,1.0,0.0,1.0,0.0,0.5217391304347826,1.0,0,-0.4136135741852359,2,0,14441
1.0,0.0,0.0,0.0,0.05882352941176472,0.06779661016949157,1.0,0.0,1.0,0.0,0.5217391304347826,1.0,0,-0.7387284610117627,1,0,6937
0.0,0.0,0.0,0.6666666666666665,0.5882352941176471,0.5847457627118644,0.0,0.0,0.0,0.0,0.7826086956521738,2.0,0,-0.16977740906534083,1,0,8891
0.0,0.0,0.0,0.0,0.05882352941176472,0.0423728813559322,1.0,0.0,1.0,0.0,0.9130434782608695,2.0,0,0.30773508096112034,1,0,15078
0.0,0.0,1.0,0.0,0.05882352941176472,0.0423728813559322,0.0,0.0,0.0,0.0,0.4782608695652174,0.0,0,-0.9724047859183288,0,1,4096
0.0,0.0,0.0,0.0,0.17647058823529405,0.19491525423728817,0.0,0.0,0.0,0.0,0.5652173913043478,2.0,1,2.471781046400189,2,0,12829
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6521739130434783,0.0,0,-1.0028843065583157,0,1,7295
0.0,1.0,0.0,0.6666666666666665,0.6470588235294118,0.6610169491525424,0.0,0.0,0.0,0.0,0.34782608695652173,2.0,0,0.21629651904115968,1,0,13941
0.0,1.0,0.0,0.6666666666666665,0.7058823529411765,0.6864406779661016,0.0,0.0,0.0,0.0,0.3913043478260869,2.0,1,1.7605922314671618,1,0,14388
1.0,0.0,0.0,0.6666666666666665,0.7647058823529412,0.7372881355932204,1.0,0.0,1.0,0.0,0.043478260869565216,1.0,0,-0.30185533183861735,1,0,6206
0.0,0.0,0.0,0.6666666666666665,0.5882352941176471,0.5593220338983051,0.0,0.0,0.0,0.0,0.8695652173913043,2.0,1,1.6386741489072143,1,0,10203
1.0,0.0,0.0,0.33333333333333326,0.4117647058823529,0.43220338983050854,0.0,0.0,0.0,0.0,0.30434782608695654,0.0,0,-0.9622449457049999,0,1,4804
0.0,0.0,0.0,0.0,0.17647058823529405,0.14406779661016955,0.0,0.0,0.0,0.0,1.0,2.0,1,2.827375453866703,2,0,10783
1.0,0.0,0.0,1.0,0.823529411764706,0.847457627118644,0.0,0.0,0.0,1.0,0.9130434782608695,0.0,0,-0.921605584851684,0,1,4823
0.0,1.0,0.0,0.6666666666666665,0.7058823529411765,0.6864406779661016,1.0,0.0,1.0,0.0,0.17391304347826086,1.0,0,-0.5964906980251572,1,0,12898
0.0,1.0,0.0,1.0,0.8823529411764705,0.8728813559322035,0.0,0.0,0.0,0.0,0.43478260869565216,2.0,1,1.8520307933871225,1,0,8529
1.0,0.0,0.0,0.6666666666666665,0.5882352941176471,0.6101694915254237,0.0,0.0,0.0,0.0,1.0,1.0,0,-0.8301670229317233,1,0,5276
0.0,1.0,0.0,0.6666666666666665,0.5882352941176471,0.5847457627118644,0.0,0.0,0.0,0.0,0.43478260869565216,2.0,0,0.5718909265076734,1,0,8586
0.0,1.0,0.0,1.0,0.9999999999999999,0.9745762711864407,0.0,1.0,0.0,0.0,0.17391304347826086,0.0,0,-1.1044827086916054,0,1,4050
1.0,0.0,0.0,0.0,0.0,0.016949152542372947,1.0,0.0,1.0,0.0,0.43478260869565216,1.0,0,-0.7184087805851047,1,0,13753
0.0,1.0,0.0,0.6666666666666665,0.7058823529411765,0.6864406779661016,1.0,0.0,1.0,0.0,0.17391304347826086,1.0,0,-0.22057661013198565,1,0,16079
0.0,1.0,0.0,0.0,0.17647058823529405,0.1694915254237288,1.0,0.0,1.0,0.0,0.7826086956521738,2.0,1,1.2627600610140426,1,0,6017
0.0,1.0,0.0,1.0,0.823529411764706,0.8220338983050848,0.0,0.0,0.0,0.0,0.17391304347826086,2.0,0,-0.08849868735870915,1,0,13374
0.0,0.0,1.0,0.0,0.11764705882352944,0.09322033898305082,0.0,1.0,0.0,0.0,0.43478260869565216,0.0,0,-1.0028843065583157,0,1,6300
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8260869565217391,1.0,0,-0.21041676991865668,1,0,14594
0.0,0.0,0.0,0.0,0.05882352941176472,0.0423728813559322,1.0,0.0,1.0,0.0,0.6521739130434783,1.0,0,-0.3628143731185911,1,0,17267
